method,dataset,sequence,frames,MPE_m,MedPE_m,MOE_deg,MedOE_deg,recall@10m,recall@9m,recall@8m,recall@7m,recall@6m,recall@5m,recall@4m,recall@3m,recall@2m,recall@1m
PoseSOE,NCLT,2012-02-12,25546,13.09,3.57,8.05,2.84,82.02,80.13,77.66,74.46,70.07,63.77,54.92,42.94,26.59,8.86
PoseSOE,NCLT,2012-02-19,26543,6.16,2.87,4.51,2.44,91.8,90.54,88.63,85.98,82.08,76.01,66.54,52.23,32.27,10.35
PoseSOE,NCLT,2012-03-31,26205,5.24,2.81,4.56,2.44,94.06,93.08,91.45,88.93,85.07,78.69,68.79,53.37,32.87,10.63
PoseSOE,NCLT,2012-05-26,26240,11.51,3.31,7.85,2.84,86.3,84.65,82.46,79.17,74.8,68.24,58.84,45.34,27.84,9.05
HypLiLoc,Oxford,15-13-06-37,36101,6.91,3.72,1.07,0.6,92.66,91.44,89.52,86.09,78.48,67.82,54.23,37.48,18.79,2.98
HypLiLoc,Oxford,17-13-26-39,42778,7.68,4.74,1.69,0.62,92.46,90.61,87.58,82.72,74.15,55.49,34.34,14.47,5.09,0.63
HypLiLoc,Oxford,17-14-03-00,43695,5.82,4.5,0.97,0.54,94.13,92.93,90.85,86.89,76.77,60.36,39.37,19.32,6.17,0.62
HypLiLoc,Oxford,18-14-14-42,37099,3.57,2.77,0.79,0.55,97.88,97.33,96.65,95.37,92.93,88.42,79.45,56.93,27.24,3.83
HypLiLoc,QEOxford,15-13-06-37,36109,5.51,2.13,1.51,0.73,94.3,93.71,92.84,91.39,88.59,83.93,77.21,65.81,43.49,13.9
HypLiLoc,QEOxford,17-13-26-39,42778,4.72,2.11,1.53,0.7,95.13,94.47,93.34,91.14,88.3,84.16,77.07,65.67,45.14,13.03
HypLiLoc,QEOxford,17-14-03-00,43705,4.05,2.11,1.19,0.75,95.87,95.11,94.06,92.13,88.99,84.75,77.97,65.87,45.2,15.14
HypLiLoc,QEOxford,18-14-14-42,37109,2.87,2.0,1.03,0.8,97.97,97.59,96.96,95.76,93.15,88.91,82.7,71.16,49.3,17.3
